
"['2023-02-18 05:06:25', '31.4']"
"['2023-02-18 05:05:25', '31.4']"
"['2023-02-18 05:04:25', '31.4']"
"['2023-02-18 05:03:25', '31.4']"
"['2023-02-18 05:02:25', '31.4']"
"['2023-02-18 05:01:25', '31.4']"
"['2023-02-18 05:00:25', '31.4']"
"['2023-02-18 04:59:25', '31.4']"
"['2023-02-18 04:58:25', '31.3']"
"['2023-02-18 05:08:25', '31.5']"
"['2023-02-18 05:07:25', '31.5']"
"['2023-02-18 05:13:25', '31.5']"
"['2023-02-18 05:12:25', '31.5']"
"['2023-02-18 05:16:25', '31.5']"
"['2023-02-18 05:15:25', '31.5']"
"['2023-02-18 05:18:25', '31.5']"
"['2023-02-18 05:17:25', '31.5']"
"['2023-02-18 05:20:25', '31.5']"
"['2023-02-18 05:19:25', '31.5']"
"['2023-02-18 05:23:25', '31.6']"
"['2023-02-18 05:22:25', '31.5']"
"['2023-02-18 05:26:25', '31.6']"
"['2023-02-18 05:25:25', '31.6']"
"['2023-02-18 05:31:25', '31.6']"
"['2023-02-18 05:30:25', '31.6']"
"['2023-02-18 05:33:25', '31.6']"
"['2023-02-18 05:32:25', '31.6']"
"['2023-02-18 05:37:25', '31.8']"
"['2023-02-18 05:36:25', '31.8']"
"['2023-02-18 06:32:25', '33.2']"
"['2023-02-18 06:31:25', '33.2']"
"['2023-02-18 06:30:25', '33.0']"
"['2023-02-18 06:29:25', '33.0']"
"['2023-02-18 06:28:25', '33.0']"
"['2023-02-18 06:27:25', '33.0']"
"['2023-02-18 06:26:25', '33.0']"
"['2023-02-18 06:25:25', '33.0']"
"['2023-02-18 06:24:25', '33.0']"
"['2023-02-18 06:23:25', '32.9']"
"['2023-02-18 06:22:25', '32.9']"
"['2023-02-18 06:21:25', '32.9']"
"['2023-02-18 06:20:25', '32.8']"
"['2023-02-18 06:19:25', '32.8']"
"['2023-02-18 06:18:25', '32.8']"
"['2023-02-18 06:17:25', '32.7']"
"['2023-02-18 06:16:25', '32.7']"
"['2023-02-18 06:15:25', '32.7']"
"['2023-02-18 06:14:25', '32.5']"
"['2023-02-18 06:13:25', '32.5']"
"['2023-02-18 06:12:25', '32.5']"
"['2023-02-18 06:11:25', '32.5']"
"['2023-02-18 06:10:25', '32.4']"
"['2023-02-18 06:09:25', '32.4']"
"['2023-02-18 06:08:25', '32.4']"
"['2023-02-18 06:07:25', '32.3']"
"['2023-02-18 06:06:25', '32.3']"
"['2023-02-18 06:05:25', '32.2']"
"['2023-02-18 06:04:25', '32.2']"
"['2023-02-18 06:03:25', '32.2']"
