"['2023-02-18 10:30:25', '35.9']"
"['2023-02-18 10:29:25', '36.0']"
"['2023-02-18 10:40:25', '35.5']"
"['2023-02-18 10:39:25', '35.5']"
"['2023-02-18 10:54:25', '35.1']"
"['2023-02-18 10:53:25', '35.1']"
"['2023-02-18 11:24:25', '36.0']"
"['2023-02-18 11:23:25', '36.0']"
"['2023-02-18 11:27:25', '35.9']"
"['2023-02-18 11:26:25', '36.0']"
"['2023-02-18 11:34:25', '35.6']"
"['2023-02-18 11:33:25', '35.6']"
"['2023-02-18 11:44:25', '36.4']"
"['2023-02-18 11:43:25', '36.1']"
"['2023-02-18 11:57:25', '37.9']"
"['2023-02-18 11:56:25', '38.0']"
"['2023-02-18 12:14:25', '36.4']"
"['2023-02-18 12:13:25', '36.2']"
